regime,mean,t,p,n
Low,-6.177407852514527e-05,-0.30024131077091404,0.767091619014028,21
Normal,-9.120337074999471e-06,-0.09359508059856295,0.9255289240147195,192
High,-1.5434648179663482e-05,-0.2463031451550209,0.8055494718011573,497
