regime,mean,std,skew,kurt,count,tail_3sigma
High,-4.181793875227694e-06,0.0009628028036633801,-0.2950234465360353,3.54070008304972,466,8
Low,-2.3982074962521513e-05,0.0005699231073372662,-0.14513135867928542,0.699703423230523,452,2
Normal,4.5620784382814404e-05,0.0007136794464277948,0.3034669425157575,1.0296105196718628,451,4
