regime,mean,t,p,n
Low,0.0003927133257490199,0.7941400899687149,0.4364359538597412,21
Normal,5.386322391405749e-05,0.3269534580440718,0.7440611152128673,192
High,3.2928948924108894e-05,0.3001934234580089,0.7641553938716154,497
