regime,mean,t,p,n
Low,0.0009077196636515041,0.9552710751446976,0.350845476961757,21
Normal,0.00019862589623184193,0.6946196210267297,0.4881377948414981,192
High,0.0003016350735788537,1.325218007562196,0.18570897476569848,497
