regime,mean,std,skew,kurt,count,tail_3sigma
High,8.711631472341668e-06,0.001207148842128335,-0.19777266280652908,8.583983559490546,5865,101
Low,6.052959672458851e-06,0.0006026160413681195,0.015243270291346356,0.9768438845470286,5693,53
Normal,1.7707792919728993e-06,0.0008210010562009917,-0.06424948997123095,1.5981967510319253,5692,66
